monotonic_seconds	utc	http_code	time_seconds
1348482.20	2026-07-20T03:26:17.827Z	200	0.008851
1348482.31	2026-07-20T03:26:17.940Z	200	0.001631
1348482.42	2026-07-20T03:26:18.052Z	200	0.001213
1348482.53	2026-07-20T03:26:18.164Z	200	0.001576
1348482.65	2026-07-20T03:26:18.283Z	200	0.008176
1348482.78	2026-07-20T03:26:18.413Z	200	0.019514
1348482.90	2026-07-20T03:26:18.526Z	200	0.001880
1348483.01	2026-07-20T03:26:18.638Z	200	0.001356
1348483.12	2026-07-20T03:26:18.755Z	200	0.006259
1348483.24	2026-07-20T03:26:18.867Z	200	0.001550
1348483.35	2026-07-20T03:26:18.980Z	200	0.001405
1348483.46	2026-07-20T03:26:19.092Z	200	0.001248
1348483.57	2026-07-20T03:26:19.205Z	200	0.001604
1348483.69	2026-07-20T03:26:19.321Z	200	0.005005
1348483.80	2026-07-20T03:26:19.434Z	200	0.002780
1348483.92	2026-07-20T03:26:19.545Z	200	0.001360
1348484.03	2026-07-20T03:26:19.658Z	200	0.001405
1348484.14	2026-07-20T03:26:19.771Z	200	0.002306
1348484.26	2026-07-20T03:26:19.888Z	200	0.005825
1348484.37	2026-07-20T03:26:20.000Z	200	0.001494
1348484.48	2026-07-20T03:26:20.114Z	200	0.002298
1348484.60	2026-07-20T03:26:20.226Z	200	0.002660
1348484.71	2026-07-20T03:26:20.339Z	200	0.002271
1348484.82	2026-07-20T03:26:20.454Z	200	0.003698
1348484.94	2026-07-20T03:26:20.568Z	200	0.002409
1348485.05	2026-07-20T03:26:20.681Z	200	0.002259
1348485.16	2026-07-20T03:26:20.794Z	200	0.002125
1348485.28	2026-07-20T03:26:20.906Z	200	0.002174
1348485.39	2026-07-20T03:26:21.024Z	200	0.007168
1348485.51	2026-07-20T03:26:21.138Z	200	0.002589
1348485.62	2026-07-20T03:26:21.252Z	200	0.002352
1348485.73	2026-07-20T03:26:21.364Z	200	0.002062
1348485.85	2026-07-20T03:26:21.480Z	200	0.004015
1348485.96	2026-07-20T03:26:21.593Z	200	0.002177
1348486.08	2026-07-20T03:26:21.705Z	200	0.001739
1348486.19	2026-07-20T03:26:21.818Z	200	0.002071
1348486.31	2026-07-20T03:26:21.937Z	200	0.008302
1348486.42	2026-07-20T03:26:22.050Z	200	0.002874
1348486.53	2026-07-20T03:26:22.163Z	200	0.002095
1348486.65	2026-07-20T03:26:22.276Z	200	0.002444
1348486.76	2026-07-20T03:26:22.393Z	200	0.005636
1348486.88	2026-07-20T03:26:22.508Z	200	0.004107
1348486.99	2026-07-20T03:26:22.620Z	200	0.001741
1348487.10	2026-07-20T03:26:22.734Z	200	0.002697
1348487.22	2026-07-20T03:26:22.850Z	200	0.005099
1348487.33	2026-07-20T03:26:22.962Z	200	0.001841
1348487.44	2026-07-20T03:26:23.074Z	200	0.001385
1348487.56	2026-07-20T03:26:23.186Z	200	0.001628
1348487.68	2026-07-20T03:26:23.309Z	200	0.012024
1348487.79	2026-07-20T03:26:23.423Z	200	0.002611
1348487.90	2026-07-20T03:26:23.535Z	200	0.001583
1348488.02	2026-07-20T03:26:23.647Z	200	0.001686
1348488.13	2026-07-20T03:26:23.759Z	200	0.001313
1348488.26	2026-07-20T03:26:23.887Z	200	0.017151
1348488.37	2026-07-20T03:26:23.999Z	200	0.002055
1348488.48	2026-07-20T03:26:24.111Z	200	0.001530
1348488.59	2026-07-20T03:26:24.223Z	200	0.001478
1348488.70	2026-07-20T03:26:24.334Z	200	0.001291
1348488.83	2026-07-20T03:26:24.464Z	200	0.018900
1348488.95	2026-07-20T03:26:24.581Z	200	0.007051
